minor,average rssi(mW),dBm
row5,6.309573e-05,-42.00
row6,3.218412e-05,-44.92
row7,1.279839e-06,-58.93
row8,3.199701e-07,-64.95
time range,11:10:40,11:10:50
row1,3.591591e-08,-74.45
row2,3.168727e-08,-74.99
row3,1.687120e-07,-67.73
row4,3.515562e-07,-64.54
row5,1.773164e-06,-57.51
row6,7.613841e-05,-41.18
row7,1.222202e-06,-59.13
row8,7.283382e-07,-61.38
time range,11:11:10,11:11:20
row1,0,-80
row2,5.498510e-08,-72.60
row3,1.349257e-07,-68.70
row4,1.718454e-07,-67.65
row5,4.805712e-06,-53.18
row6,9.228731e-05,-40.35
row7,1.225992e-06,-59.12
row8,1.126912e-06,-59.48
time range,11:11:23,11:11:33
row1,1.067276e-08,-79.72
row2,2.343875e-08,-76.30
row3,4.291421e-08,-73.67
row4,2.382730e-07,-66.23
row5,1.810278e-05,-47.42
row6,1.779086e-04,-37.50
row7,1.167133e-06,-59.33
row8,3.361360e-07,-64.73
time range,11:11:47,11:11:57
row1,1.584893e-08,-78.00
row2,2.874853e-08,-75.41
row3,1.581029e-07,-68.01
row4,7.372642e-08,-71.32
row5,1.221505e-06,-59.13
row6,9.661293e-05,-40.15
row7,1.379807e-06,-58.60
row8,9.767465e-07,-60.10
time range,11:12:07,11:12:17
row1,1.503401e-08,-78.23
row2,3.306728e-08,-74.81
row3,1.845866e-07,-67.34
row4,1.375524e-07,-68.62
row5,1.187213e-06,-59.25
row6,2.236679e-04,-36.50
row7,1.540317e-06,-58.12
row8,5.684690e-07,-62.45
time range,11:12:20,11:12:30
row1,2.076277e-08,-76.83
row2,4.522073e-08,-73.45
row3,1.415131e-07,-68.49
row4,6.820906e-08,-71.66
row5,4.004178e-06,-53.97
row6,4.577295e-04,-33.39
row7,1.867910e-06,-57.29
row8,8.054519e-07,-60.94
time range,11:12:52,11:13:02
row1,0,-80
row2,1.129463e-08,-79.47
row3,8.373912e-08,-70.77
row4,5.214637e-08,-72.83
row5,1.454506e-06,-58.37
row6,6.603099e-05,-41.80
row7,2.715451e-06,-55.66
row8,3.877992e-06,-54.11
time range,11:13:16,11:13:26
row1,9.449414e-09,-80.25
row2,1.721683e-08,-77.64
row3,7.383518e-08,-71.32
row4,3.668957e-08,-74.35
row5,9.479770e-07,-60.23
row6,9.889817e-05,-40.05
row7,2.750027e-06,-55.61
row8,2.002982e-06,-56.98
time range,11:13:30,11:13:40
row1,3.139800e-08,-75.03
row2,2.810275e-08,-75.51
row3,7.040429e-08,-71.52
row4,9.314554e-08,-70.31
row5,1.810278e-06,-57.42
row6,2.928342e-05,-45.33
row7,2.202278e-06,-56.57
row8,1.800628e-06,-57.45
time range,11:13:48,11:13:58
row1,0,-80
row2,2.743547e-08,-75.62
row3,9.069722e-08,-70.42
row4,3.754911e-08,-74.25
row5,3.617163e-06,-54.42
row6,3.344232e-05,-44.76
row7,5.065252e-06,-52.95
row8,2.110068e-06,-56.76
time range,11:14:10,11:14:20
row1,0,-80
row2,1.852366e-08,-77.32
row3,3.103607e-08,-75.08
row4,3.720410e-08,-74.29
